grade,FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
1,4.380499780041775e-06,3.873179204526795e-09,293175880.6766009,223811329.49928045,1311223.7735739285,1416862.3638716652,63041017.95638323,2546930295.465956,2527119986.75911,1387434927.4303706,100,65000,170,6,1.5,30596.8534,148859.345,29.4464394,285.017507,220.654306,9463.1048
1,4.536748439199144e-06,3.1154302460406962e-09,290110583.19331145,289585426.33614373,1413056.4901366867,1153300.7713848625,49540610.258154266,2838128630.6846714,2699941384.034532,1433609107.9237614,100,65000,170,6,1.5,40852.0921,190541.998,24.6801388,299.863549,225.497626,10348.6161
1,3.6181649220925777e-06,3.338032043285928e-09,204937614.70351976,238615742.19527745,1438647.7130474378,1078406.7581617718,50724297.39402467,2542941109.738824,2568618992.4498835,1175205860.8288264,100,65000,170,6,1.5,35158.0985,154522.955,23.9426106,291.513021,223.54144,9828.00519
1,3.5014932792751757e-06,3.7136369898516253e-09,247693661.30405688,208867115.8141144,1140462.7713366128,1260126.9154005682,48643244.57776201,2667914787.1502514,2118355157.972849,1114258160.2383494,100,65000,170,6,1.5,34276.6292,173129.809,25.3607766,284.463215,221.75398,9396.17289
1,3.774409692884707e-06,3.7627364531178214e-09,201755985.2210017,218126678.8668725,1313283.479939954,1087921.3638920574,62531688.35476556,2473621723.1431646,2829243720.929782,1419570541.3462873,100,65000,170,6,1.5,30270.2666,123214.526,30.8465548,283.570685,221.040198,9371.05126
1,3.707222746600254e-06,3.614931801791496e-09,286393247.2293625,247858508.35512447,1353720.299093396,1100651.8680671174,55761921.10558792,2865772949.9868107,2932177703.436921,1050670901.8570029,100,65000,170,6,1.5,35078.446,149329.985,20.3985872,288.646772,222.44131,9648.62653
1,4.299030971680355e-06,3.914496908892545e-09,218160982.55968216,215201366.7243341,1096833.6095585509,1008152.8719375052,65188373.598926544,2054443875.771948,2449762204.869385,1134361308.4505682,100,65000,170,6,1.5,30158.9217,119485.177,25.1004771,285.94339,220.724954,9509.7297
1,4.261059843769704e-06,3.9592297515610525e-09,248879556.98995087,248801820.3949736,1452481.3632450677,1205008.8341354455,58534166.290682696,2104256949.39324,2539545436.8413334,1339158464.6609948,100,65000,170,6,1.5,33798.8232,155467.266,26.1120881,292.185767,221.924755,9861.11403
1,4.286776089820505e-06,4.24803568934852e-09,255205820.27040383,221987089.7909141,1095220.577475183,1220307.9219135551,62487203.82428442,2592163915.3097134,2343405633.504855,1526018236.9473631,100,65000,170,6,1.5,31604.1358,139192.991,32.4571223,283.620578,219.885316,9351.80422
1,4.611491293267049e-06,3.676651193584511e-09,252851413.1807613,209522183.58055216,1158683.025521313,1424709.1427483289,59958255.372040495,2844047731.3946724,2513047968.7107506,1524744214.3894322,100,65000,170,6,1.5,30718.9213,151241.78,34.2147785,281.106647,220.763113,9271.86871
1,3.2285836271671347e-06,3.307655996980361e-09,264279851.7389281,244635552.511654,1059500.245808814,1011815.1439966236,54146480.0205147,2298697246.693108,2799998009.352474,1363725303.040425,100,65000,170,6,1.5,36971.8455,164600.378,27.2754874,293.324201,224.340168,9914.91807
1,4.251420171514261e-06,3.27899020767344e-09,207545055.8149368,263720374.1489975,1142864.1002004691,1221387.9812851965,52266065.75131525,2568820875.58058,2011396483.143467,1063741746.5097142,100,65000,170,6,1.5,38454.9365,190816.368,20.0529192,299.141552,224.93995,10292.2239
1,3.88717454725111e-06,4.2653975176481405e-09,295427952.5388659,209687243.45918676,1477847.2284299736,1196808.383114652,51614961.18627675,2527464324.9488883,2664534765.266505,1411891113.666553,100,65000,170,6,1.5,32018.4425,143940.606,31.4748854,279.725545,219.667809,9123.17855
1,3.703333236408237e-06,4.538369367814056e-09,284471649.2589774,217134291.46105748,1002603.4143494704,1305543.044662848,71065944.22687626,2942314367.912134,2734857335.462863,1187278722.9336624,100,65000,170,6,1.5,29309.4191,127140.527,25.4283119,278.231768,218.903909,9021.39578
1,4.311676904773022e-06,3.929464295164648e-09,254504803.64513552,264777392.6703075,1468340.896300487,999890.6533113464,65758499.0856385,2937786586.5087023,2387450724.9853325,1370378761.9922786,100,65000,170,6,1.5,32695.5229,120986.161,25.0828197,291.9796,221.794977,9846.7441
1,4.406234945484394e-06,4.424813070947143e-09,231719739.45735425,202994091.79133123,1065617.6091165603,1382753.5100626787,58829454.0146912,2552571805.008153,2051292914.0997496,1308395594.50474,100,65000,170,6,1.5,30782.3795,150813.226,30.0987142,280.045086,219.027326,9152.7132
1,4.6063361421370045e-06,4.440646105665257e-09,231729675.0113797,249511423.3895041,1063742.017652136,1461658.0699406145,66338302.836116746,2933535121.045668,2792769094.650432,1314691082.0392923,100,65000,170,6,1.5,33569.3676,165144.931,24.9264992,284.742957,219.737539,9413.31295
1,3.12588074470011e-06,3.816757571873276e-09,278075389.4056542,267401193.17950547,1405917.5237521385,1183750.9782990045,50239783.68212504,2932060910.6076846,2189096870.5307794,1251348771.9017358,100,65000,170,6,1.5,38090.4927,178852.06,22.9665563,294.989988,223.930149,9985.11899
1,4.037557152168591e-06,3.149099476797501e-09,273030309.0663175,213549188.36350587,1106370.2106138323,1197252.871506096,64283870.16304951,2298932954.5544,2838249259.6908865,1112789907.525735,100,65000,170,6,1.5,30094.9637,135124.59,24.9720522,286.423037,222.745245,9584.86468
1,3.795819236272407e-06,4.487401625285682e-09,206870895.4537745,251148912.3419361,1357083.8180696284,1122624.7918759724,50746117.74471928,2109756618.38041,2181322714.276438,1414928260.1590636,100,65000,170,6,1.5,37162.5056,173691.293,27.3311724,292.557257,221.868029,9841.39191
1,3.758974637482056e-06,3.040803748877157e-09,249197300.04070824,290576959.91659546,1258134.9362714505,1374638.1577803371,71807164.66825616,2393333638.5625625,2334501622.575887,1506464278.658783,100,65000,170,6,1.5,33611.5039,165334.167,26.2865818,305.126777,226.492686,10646.1751
